customer_id,bureau_score,dpd_15_count_6m,dpd_30_count_6m,dpd_90_count_6m,dpd_30_count_3m,active_loans_count,total_emi_monthly,total_credit_6m,total_debit_6m,avg_monthly_balance_6m,net_cash_surplus_6m,inward_bounce_count_3m,avg_salary_6m,salary_txn_count_6m,salary_amount_cv,salary_date_std,salary_creditor_consistent,salary_missing_months,salary_stability_flag,liquidity_flag,bureau_risk_flag,hard_reject_flag,risk_score,loan_decision,decision_reason
CUST_000018,749,0,0,0,0,1,40141,851638,351034,48742,500604,0,139918,6,0.09,3.4,1,0,STABLE,MODERATE,LOW,0,93,APPROVE,Strong profile
CUST_000019,751,0,0,0,0,7,54087,1438231,446010,100789,992221,0,240707,6,0.07,2.4,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000020,760,0,0,0,0,2,5000,1097505,179543,0,917962,0,181141,6,0.03,2.6,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000021,755,0,0,0,0,3,22858,115038,287947,90178,-172909,0,20000,6,0.06,3.0,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000022,749,0,0,0,0,3,17620,1238925,290682,0,948243,1,209771,6,0.07,2.4,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000023,749,0,0,0,0,8,26207,1466332,303877,32227,1162455,0,243450,6,0.08,1.5,1,0,STABLE,MODERATE,LOW,0,93,APPROVE,Strong profile
CUST_000024,750,0,0,0,0,9,34624,1393534,338515,25766,1055019,0,230653,6,0.05,3.1,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000025,743,0,0,0,0,7,11499,111849,220321,54685,-108472,0,20000,6,0.07,2.7,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000026,748,0,0,0,0,3,26893,137069,332921,57963,-195852,0,20000,6,0.09,2.6,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000027,750,0,0,0,0,1,5000,1340348,210300,116250,1130048,0,222002,6,0.06,1.9,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000028,749,0,0,0,0,7,30210,1573823,316642,88371,1257181,0,264977,6,0.03,2.4,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000029,750,0,0,0,0,11,54109,107539,469033,0,-361494,1,20000,6,0.08,3.4,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000030,752,0,0,0,0,3,24014,2654307,308636,53315,2345671,0,444487,6,0.07,3.4,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000031,747,0,0,0,0,7,17224,2917758,291743,70242,2626015,0,485796,6,0.03,2.2,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000032,744,0,0,0,0,2,39678,968554,384859,47614,583695,1,158298,6,0.05,2.2,1,0,STABLE,MODERATE,LOW,0,83,APPROVE,Strong profile
CUST_000033,752,0,0,0,0,12,27329,123304,275472,79012,-152168,0,20000,6,0.04,2.3,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000034,737,0,0,0,0,11,25140,999082,337082,60906,662000,0,169000,6,0.04,2.9,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000035,748,0,0,0,0,3,49734,3194691,446217,40376,2748474,0,530046,6,0.05,3.0,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000036,750,0,0,0,0,1,38133,126914,354502,0,-227588,0,20000,6,0.03,2.5,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000037,759,0,0,0,0,1,11932,3033518,265458,0,2768060,0,502899,6,0.04,3.0,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000038,766,0,0,0,0,12,40334,3258120,435777,0,2822343,2,542993,6,0.1,2.8,1,0,STABLE,LOW,LOW,0,65,REVIEW,Manual review needed
CUST_000039,750,0,0,0,0,4,23625,2215418,278373,76787,1937045,0,369290,6,0.04,2.3,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000040,748,0,0,0,0,7,25966,1139756,295621,0,844135,0,188335,6,0.08,3.0,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000041,748,0,0,0,0,12,25342,2469837,332692,64940,2137145,0,413967,6,0.09,1.8,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000042,753,0,0,0,0,10,31457,576971,330124,10193,246847,0,98097,6,0.06,3.3,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000043,755,0,0,0,0,4,49899,114272,413920,8051,-299648,0,20000,6,0.09,1.6,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000044,757,0,0,0,0,15,5000,1846799,228247,0,1618552,0,310542,6,0.09,2.9,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000045,754,0,0,0,0,1,16843,132521,227939,8008,-95418,0,20000,6,0.04,1.7,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000046,751,0,0,0,0,8,34396,109800,345783,0,-235983,0,20000,6,0.04,2.6,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000047,747,0,0,0,0,4,29123,1594624,339640,5810,1254984,2,265361,6,0.07,3.5,1,0,STABLE,LOW,LOW,0,65,REVIEW,Manual review needed
CUST_000048,738,0,0,0,0,1,21892,3406355,251754,32973,3154601,0,568057,6,0.05,3.4,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000049,750,0,0,0,0,5,9476,120431,207863,170826,-87432,0,20000,6,0.1,1.6,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000050,745,0,0,0,0,15,38556,1026369,382320,0,644049,0,172400,6,0.07,2.8,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000051,745,0,0,0,0,6,27483,344650,288851,75739,55799,0,60285,6,0.06,3.3,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000052,741,0,0,0,0,7,8267,361990,221473,0,140517,1,58603,6,0.07,2.5,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000053,749,0,0,0,0,1,16486,119894,295630,17471,-175736,0,20000,6,0.08,2.2,1,0,STABLE,MODERATE,LOW,0,93,APPROVE,Strong profile
CUST_000054,742,0,0,0,0,1,18802,122879,291952,65469,-169073,0,20000,6,0.03,2.7,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000055,749,0,0,0,0,2,51753,2185193,440122,98480,1745071,0,364896,6,0.03,1.9,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000056,747,0,0,0,0,7,31097,354876,300955,0,53921,1,62355,6,0.1,1.8,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000057,742,0,0,0,0,7,11868,127933,267809,7251,-139876,0,20000,6,0.05,3.4,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000058,749,0,0,0,0,6,31651,127555,357731,0,-230176,2,20028,6,0.08,1.7,1,0,STABLE,LOW,LOW,0,65,REVIEW,Manual review needed
CUST_000059,752,0,0,0,0,3,5000,3884802,189049,0,3695753,0,650465,6,0.04,2.7,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000060,753,0,0,0,0,5,11902,2864351,207276,0,2657075,0,475338,6,0.08,2.7,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000061,751,0,0,0,0,4,34525,118264,366611,0,-248347,0,20000,6,0.07,3.2,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000062,745,0,0,0,0,1,50282,1188300,434749,116184,753551,0,197266,6,0.03,2.0,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000063,751,0,0,0,0,1,28251,128782,348541,140570,-219759,0,20000,6,0.05,3.5,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000064,758,0,0,0,0,4,28113,2347626,309987,71867,2037639,0,390825,6,0.06,2.4,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000065,748,0,0,0,0,3,35134,2059678,350045,0,1709633,1,346286,6,0.05,2.8,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000066,734,0,0,0,0,1,24467,1805622,334408,0,1471214,0,298972,6,0.08,3.2,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000067,749,0,0,0,0,3,21401,110378,277253,88334,-166875,0,20000,6,0.06,1.8,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000068,756,0,0,0,0,3,24448,188629,251399,0,-62770,2,31520,6,0.04,2.2,1,0,STABLE,LOW,LOW,0,65,REVIEW,Manual review needed
CUST_000069,750,0,0,0,0,3,47644,2091235,415404,21550,1675831,0,349666,6,0.06,1.6,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000070,744,0,0,0,0,1,36137,1082052,379007,0,703045,0,181603,6,0.03,2.8,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000071,740,0,0,0,0,6,35014,598915,375246,69916,223669,0,99251,6,0.09,2.3,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000072,759,0,0,0,0,2,5000,1888890,163186,2275,1725704,0,312861,6,0.09,2.2,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000073,745,0,0,0,0,9,10140,1423224,172371,0,1250853,0,236541,6,0.06,3.4,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000074,757,0,0,0,0,5,10068,131554,221685,36320,-90131,0,20000,6,0.07,3.4,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000075,754,0,0,0,0,1,29910,124790,300574,0,-175784,1,20000,6,0.06,2.1,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000076,757,0,0,0,0,4,47529,1250105,442927,89593,807178,0,206946,6,0.1,3.5,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000077,756,0,0,0,0,11,36365,1110709,323615,10251,787094,2,187084,6,0.05,3.1,1,0,STABLE,LOW,LOW,0,65,REVIEW,Manual review needed
CUST_000078,757,0,0,0,0,4,39277,300948,424439,129109,-123491,0,47695,6,0.09,2.6,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000079,748,0,0,0,0,3,31698,115386,304652,31293,-189266,0,20000,6,0.09,3.2,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000080,739,0,0,0,0,1,29909,2384445,304155,0,2080290,1,396947,6,0.03,1.6,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000081,747,0,0,0,0,1,42847,2420247,427651,101930,1992596,0,404789,6,0.07,2.2,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000082,746,0,0,0,0,8,34707,133611,317137,74566,-183526,0,20000,6,0.06,1.7,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000083,752,0,0,0,0,6,39591,1158706,430851,67883,727855,0,192075,6,0.09,2.0,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000084,749,0,0,0,0,1,32088,768257,295579,0,472678,0,130670,6,0.06,2.1,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000085,756,0,0,0,0,5,24789,137982,307066,0,-169084,0,20000,6,0.05,2.3,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000086,752,0,0,0,0,3,31808,1858647,328919,96410,1529728,0,310635,6,0.03,2.6,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000087,755,0,0,0,0,10,42644,1807143,427862,173536,1379281,0,302924,6,0.1,2.5,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000088,749,0,0,0,0,6,20782,105602,305649,79627,-200047,0,20000,6,0.07,2.9,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000089,753,0,0,0,0,4,19280,1579352,227212,0,1352140,0,266235,6,0.07,2.8,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000090,753,0,0,0,0,1,36749,1286085,404642,0,881443,0,212209,6,0.04,3.0,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000091,747,0,0,0,0,1,43164,1239360,444379,0,794981,0,203840,6,0.04,3.0,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000092,751,0,0,0,0,8,26262,1813817,261030,0,1552787,1,301824,6,0.03,1.7,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000093,755,0,0,0,0,8,36491,654161,414326,7858,239835,0,111600,6,0.07,3.3,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000094,743,0,0,0,0,10,27432,100555,306770,83535,-206215,0,20000,6,0.07,1.6,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000095,754,0,0,0,0,3,12743,3244432,191755,81627,3052677,0,542235,6,0.1,2.4,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000096,749,0,0,0,0,5,33938,110533,315786,29614,-205253,1,20000,6,0.09,3.2,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000097,746,0,0,0,0,4,40867,2884501,423626,2685,2460875,1,479700,6,0.03,1.7,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000098,755,0,0,0,0,1,40393,968490,423906,0,544584,1,162475,6,0.03,1.6,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000099,756,0,0,0,0,5,6773,3052733,150680,0,2902053,2,507393,6,0.09,1.7,1,0,STABLE,LOW,LOW,0,65,REVIEW,Manual review needed
CUST_000100,749,0,0,0,0,4,19646,416464,291591,153271,124873,0,69932,6,0.08,2.5,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000101,746,0,0,0,0,13,41122,123648,390867,0,-267219,2,20000,6,0.08,2.8,1,0,STABLE,LOW,LOW,0,65,REVIEW,Manual review needed
CUST_000102,745,0,0,0,0,1,5483,866957,204078,15484,662879,0,143628,6,0.09,2.7,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000103,744,0,0,0,0,5,36958,108890,387905,0,-279015,0,20000,6,0.06,3.2,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000104,735,0,0,0,0,2,5000,116915,132917,0,-16002,1,20000,6,0.03,1.7,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000105,756,0,0,0,0,8,5000,1629316,173728,82426,1455588,0,273501,6,0.07,2.7,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000106,749,0,0,0,0,8,26548,3966464,329565,65246,3636899,0,662293,6,0.05,2.7,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000107,753,0,0,0,0,1,32229,129605,293958,41987,-164353,1,22383,6,0.09,1.7,1,0,STABLE,MODERATE,LOW,0,83,APPROVE,Strong profile
CUST_000108,752,0,0,0,0,7,39498,110497,403586,166273,-293089,0,20000,6,0.09,3.4,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000109,754,0,0,0,0,1,35165,4001253,323305,79051,3677948,0,669531,6,0.06,1.7,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000110,743,0,0,0,0,6,31663,683245,342973,79642,340272,0,116664,6,0.06,2.3,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000111,740,0,0,0,0,3,6478,2033285,159460,0,1873825,0,338485,6,0.1,2.6,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000112,746,0,0,0,0,3,31519,127211,376042,72196,-248831,0,20000,6,0.09,2.1,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000113,739,0,0,0,0,5,52457,1027124,422687,68006,604437,0,173296,6,0.04,1.8,1,0,STABLE,MODERATE,LOW,0,93,APPROVE,Strong profile
CUST_000114,747,0,0,0,0,7,18302,583322,227431,97605,355891,0,100157,6,0.07,3.4,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000115,749,0,0,0,0,1,35580,2149880,399136,0,1750744,0,355862,6,0.06,1.5,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000116,743,0,0,0,0,1,15075,135270,264839,42158,-129569,0,20000,6,0.06,2.2,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000117,755,0,0,0,0,6,35807,333313,391610,0,-58297,0,52812,6,0.06,2.2,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000118,744,0,0,0,0,2,23046,522471,242886,0,279585,1,86410,6,0.09,1.8,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000119,741,0,0,0,0,6,25095,1436487,330032,45460,1106455,0,240924,6,0.1,2.4,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000120,745,0,0,0,0,3,43386,114176,379391,0,-265215,1,20000,6,0.09,1.5,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000121,739,0,0,0,0,6,11448,2237136,178550,74841,2058586,0,370163,6,0.04,2.8,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000122,745,0,0,0,0,12,24624,2324648,280904,0,2043744,1,386905,6,0.04,2.6,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000123,752,0,0,0,0,2,20862,136054,301581,13370,-165527,0,20000,6,0.09,2.5,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000124,763,0,0,0,0,8,5000,2509464,132485,0,2376979,0,415732,6,0.04,1.9,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000125,751,0,0,0,0,1,28825,1920112,309345,70739,1610767,0,322182,6,0.05,1.6,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000126,748,0,0,0,0,4,48190,118803,400111,0,-281308,0,20000,6,0.03,2.9,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000127,742,0,0,0,0,2,24176,925456,279928,19862,645528,0,156462,6,0.07,2.2,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000128,739,0,0,0,0,1,11802,108996,250672,0,-141676,0,20000,6,0.1,1.9,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000129,761,0,0,0,0,1,21012,119314,269659,0,-150345,0,20000,6,0.03,1.5,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000130,752,0,0,0,0,7,38304,1521528,365054,0,1156474,0,255465,6,0.08,3.0,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000131,748,0,0,0,0,2,25876,106958,308680,2651,-201722,2,20000,6,0.04,2.3,1,0,STABLE,LOW,LOW,0,65,REVIEW,Manual review needed
CUST_000132,748,0,0,0,0,5,15364,148849,210231,43893,-61382,0,25827,6,0.04,3.0,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000133,747,0,0,0,0,4,19698,774630,264514,0,510116,0,129117,6,0.04,2.7,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000134,757,0,0,0,0,10,23406,207101,250995,0,-43894,0,33627,6,0.06,3.2,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000135,750,0,0,0,0,4,50556,1804454,494934,48209,1309520,0,302863,6,0.09,2.4,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000136,761,0,0,0,0,5,15206,1628349,283658,72866,1344691,0,273558,6,0.06,3.5,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000137,752,0,0,0,0,8,51730,118169,445110,116698,-326941,0,20000,6,0.06,2.6,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000138,747,0,0,0,0,3,38860,3506773,396013,63174,3110760,0,586101,6,0.1,3.3,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000139,757,0,0,0,0,7,20050,847402,306649,66050,540753,0,142703,6,0.1,2.8,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000140,745,0,0,0,0,1,22712,139438,310205,158382,-170767,0,20000,6,0.09,2.3,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000141,752,0,0,0,0,7,35234,3242495,356518,162106,2885977,0,541521,6,0.08,3.3,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000142,743,0,0,0,0,9,25900,130691,345468,82880,-214777,0,20000,6,0.09,3.1,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000143,746,0,0,0,0,1,43462,1046762,366032,81146,680730,0,173571,6,0.09,2.7,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000144,751,0,0,0,0,7,58916,730680,491593,6935,239087,1,122196,6,0.06,1.8,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000145,745,0,0,0,0,5,19915,113541,234971,59318,-121430,0,20000,6,0.09,3.1,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000146,731,0,0,0,0,3,13683,111357,234900,0,-123543,1,20000,6,0.09,1.9,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000147,740,0,0,0,0,5,14449,2850906,193046,0,2657860,1,474768,6,0.09,2.1,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000148,745,0,0,0,0,4,35448,888775,322369,52435,566406,0,150550,6,0.05,2.5,1,0,STABLE,MODERATE,LOW,0,93,APPROVE,Strong profile
CUST_000149,753,0,0,0,0,8,15496,2514696,284003,0,2230693,0,415921,6,0.03,2.2,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000150,750,0,0,0,0,6,15932,270714,235151,0,35563,0,44797,6,0.05,2.9,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000151,747,0,0,0,0,1,5714,2584015,147048,10310,2436967,0,429109,6,0.04,2.4,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000152,758,0,0,0,0,7,36269,1034072,384958,0,649114,0,173427,6,0.05,1.7,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000153,736,0,0,0,0,6,28479,115829,335806,0,-219977,0,20000,6,0.06,3.3,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000154,752,0,0,0,0,1,11825,1146104,174011,0,972093,1,189167,6,0.07,3.0,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000155,756,0,0,0,0,5,14620,2051912,214226,0,1837686,0,340680,6,0.03,3.4,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000156,750,0,0,0,0,1,20580,107710,314063,514,-206353,2,20000,6,0.04,2.8,1,0,STABLE,LOW,LOW,0,65,REVIEW,Manual review needed
CUST_000157,747,0,0,0,0,1,38835,4609740,380369,129425,4229371,0,769892,6,0.06,1.9,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000158,755,0,0,0,0,13,37885,118894,388423,0,-269529,1,20000,6,0.04,2.7,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000159,741,0,0,0,0,10,16097,879461,247929,30065,631532,0,147438,6,0.09,1.8,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000160,738,0,0,0,0,3,16681,322245,231057,0,91188,0,56592,6,0.04,1.7,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
